,Place of Interest,Place Address,BiciMAD Station,BiciMAD Location,distance
153,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2,3236.858675101814
159,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43,3242.2670601874174
207,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Estrecho,Calle Navarra nº 1,3258.267380552682
65,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Almadén,Calle Almadén nº 28,3279.520735242067
107,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Columela,Calle Serrano nº 8,3290.97403054309
214,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3291.2388575255272
106,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Colón B,Calle Serrano nº 34,3308.199740765821
105,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Colón A,Calle Serrano nº 34,3309.2513556847343
172,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de la Esperanza,Paseo de la Esperanza nº 21,3312.986960888514
104,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Serrano,Calle Serrano nº 54,3327.1821243146355
161,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Castellana 42,Paseo de la Castellana nº 42,3332.9264437758397
60,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de la Independencia,Plaza de la Independencia nº 6,3342.646622102296
64,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Antonio Maura,Calle Antonio Maura nº 15,3343.9002973920174
66,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Espalter,Calle Espalter nº 1,3350.9793654378955
241,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Francos Rodríguez,Calle Francos Rodríguez nº 62,3382.0724957570037
139,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Orense 12,Calle Orense nº 12,3395.095300062912
94,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Villanueva,Calle Claudio Coello nº 109,3418.3814762061825
91,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Claudio Coello,Calle Claudio Coello nº 45,3430.8759464860404
50,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Museo Reina Sofía,Calle Santa Isabel nº 57,3435.2298596512787
102,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ortega y Gasset,Calle José Ortega y Gasset nº 4,3440.44073692667
136,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,General Perón 1,Avenida del General Perón frente al nº 4,3440.6764833425095
148,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,3472.8354023443503
51,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ronda de Atocha,Ronda de Atocha nº 2,3477.743670226551
80,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Cuesta de Moyano,Cuesta de Claudio Moyano,3492.3240526409368
170,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Batalla del Salado,Paseo Santa María de la Cabeza nº 29,3523.909261049855
145,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Castellana 106,Paseo de la Castellana nº 106,3532.9692482762894
123,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,3555.7476063299264
176,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Madrid Río-Yeserías,Paseo de Yeserías nº 45,3585.7014841582777
175,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puente Praga,Paseo de la Esperanza nº 59,3691.709206324811
122,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Palos de la Frontera,Calle Palos de la Frontera nº 27,3735.209372111013
89,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,General Pardiñas,Calle Goya nº 18,3747.184971525302
87,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Embajada de Italia,Calle Velázquez nº 75,3750.63148576048
133,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Germán 57,Calle San Germán nº 57,3751.3952477056823
67,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,3752.4593799213376
78,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Atocha A,Paseo de la Infanta Isabel nº 3,3764.7057654912705
173,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Embajadores-Cáceres,Calle Embajadores nº 101,3766.6373633917874
251,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Serrano 113,Calle Serrano nº 113B,3777.7370263911866
79,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Atocha B,Paseo de la Infanta Isabel nº 3,3779.046713936442
101,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Velázquez,Calle Alcalá nº 95,3780.8587457673016
141,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Castellana frente a Hermanos Pinzón,Paseo de la Castellana nº 122,3792.728104189469
